user_ID,Name,Age,Gender,City,Education_Level,Monthly_Income,Marrige_Status,Date_of_order,Product_order_count,Order_Amount_INR,Wallet_Balance_INR,Total_Order_INR
52,,31,Male,Delhi,Graduate,46221,Married,22-09-2024,2,6109,9406,14485
53,,32,Female,Mumbai,,,Single,,5,4006,17032,19330
54,,30,Female,Delhi,Postgrad,66371,Married,14-12-2023,,25947,32623,28902
55,,31,Female,Mumbai,Graduate,65504,Single,08-02-2024,1,,23378,22734
56,,31,Female,Mumbai,Postgrad,86108,Single,07-03-2024,3,10913,29143,32496
57,,30,,Delhi,Postgrad,85539,Single,01-08-2023,3,7760,34722,23088
58,,25,Male,,Graduate,49393,,29-12-2025,3,6059,14445,18638
59,,24,Male,Hyderabad,Graduate,48450,Single,26-03-2025,8,3250,,21903
60,,28,Male,Ahmedabad,Graduate,413747,Single,29-06-2023,0,15024,144476,14827
61,,28,Female,,Postgrad,73142,Single,22-03-2025,2,14328,31316,29242
62,,31,Male,Delhi,Graduate,66300,Married,17-05-2023,3,,22700,23352
63,,,Male,Delhi,Graduate,,Married,08-10-2024,,21195,,21194
64,,,Female,Delhi,Postgrad,67508,Single,29-08-2024,3,,23094,20566
65,,,Female,Delhi,,52932,Single,29-03-2023,2,6360,19565,13881
66,,18,,Hyderabad,Postgrad,57768,Single,29-09-2025,3,9881,22166,29424
67,,25,Male,Delhi,12th,27583,Single,22-01-2024,5,2349,7691,12042
68,,,Male,Delhi,Graduate,61495,Single,30-10-2023,5,,21792,22354
69,,25,Male,Delhi,12th,40085,Single,28-05-2025,2,8675,11651,15145
70,,30,Male,Delhi,Graduate,67638,Single,04-04-2025,3,7468,26920,23552
71,,29,Male,Hyderabad,Graduate,68404,Married,,2,9599,21342,17131
72,,39,Male,Pune,10th,27894,Married,30-08-2023,4,2824,10330,12472
73,Meera Singh,,Female,Delhi,,46265,Married,21-01-2025,6,2719,20549,16606
74,,40,Male,Kolkata,Graduate,,Single,19-02-2025,2,,22559,18643
75,,33,Male,,Graduate,52038,Single,30-10-2025,1,14434,19319,13764
76,,35,Male,,12th,34467,Single,04-11-2024,3,4636,14004,14401
77,Karan Agarwal,,Male,Delhi,Graduate,,,26-09-2023,2,8992,21430,18314
78,,23,Female,Pune,Postgrad,70690,Single,12-10-2023,5,7278,23829,35000
79,,27,Male,Delhi,12th,34607,Single,09-02-2025,1,5739,12431,5635
80,,29,Female,Pune,Graduate,64081,,22-04-2024,2,12206,31143,26689
81,,26,Female,Ahmedabad,10th,,Single,31-01-2025,3,,16352,8210
82,,23,Male,Delhi,Postgrad,88145,Single,07-01-2023,2,15048,30668,31195
83,,31,Female,Delhi,,,Single,18-11-2025,3,6227,19857,15710
84,,23,Male,Bengaluru,12th,,Married,13-06-2024,2,6881,23589,16624
85,,,Male,Hyderabad,Postgrad,,Married,07-04-2023,1,16356,17986,
86,,23,Male,Ahmedabad,12th,53822,Married,17-09-2025,1,20247,24509,22267
87,,28,Female,Delhi,12th,,Single,20-01-2025,3,1348,17433,4669
88,,24,Male,Chennai,Graduate,51297,,12-06-2024,2,8743,19675,19696
89,,28,Male,Delhi,Postgrad,81997,Single,17-11-2024,7,5249,29022,34114
90,,32,Male,,Graduate,55907,Single,26-09-2024,4,5152,25436,16357
91,,32,Male,Delhi,10th,46378,Single,23-12-2024,,16951,11113,17034
92,,,Female,Delhi,Graduate,51455,Single,16-01-2023,0,13401,12682,11302
93,,22,Male,Pune,Graduate,41340,Divorced,09-06-2024,4,3265,20310,11791
94,,,Male,Delhi,,57584,Married,26-07-2024,4,5505,22864,20867
95,,33,Male,Delhi,Graduate,48356,Single,22-09-2025,,,21358,18259
96,,34,Female,Ahmedabad,Postgrad,63051,Single,19-01-2023,4,6120,20908,21590
97,,,Male,Hyderabad,,60056,Single,28-03-2023,1,20600,20848,19769
98,,36,Male,Delhi,Postgrad,98475,Married,27-03-2024,4,9553,35183,38468
99,,39,Male,Mumbai,12th,27993,Single,15-07-2023,1,,12694,1133
100,,26,Female,,Postgrad,99532,Married,08-09-2025,4,7243,35039,34720
101,,37,Female,,10th,19021,Single,04-01-2023,4,,11226,7892
102,,,Female,Jaipur,Postgrad,67635,Single,09-01-2024,2,10258,26680,18611
103,Deepak Mehta,35,Male,Lucknow,Graduate,52984,Married,01-02-2024,3,8723,16854,22902
104,,33,Female,,12th,44215,Married,11-08-2024,3,6952,17854,17350
105,,18,Female,Delhi,Graduate,54261,Single,,1,17489,24702,20866
106,Riya Sharma,,Female,Jaipur,Graduate,,,18-05-2024,2,7497,,12696
107,,22,Male,Lucknow,12th,23029,Married,10-11-2023,3,6089,7130,16211
108,,19,Male,Ahmedabad,Postgrad,73477,Single,31-08-2023,1,12327,32499,13508
109,,34,Male,Pune,,87264,Single,25-02-2025,5,8135,,32173
110,,40,Female,Delhi,12th,32490,Single,11-11-2024,3,5865,13074,16375
111,,28,Male,Jaipur,Postgrad,71045,Single,02-04-2023,1,17219,25233,17840
112,Arjun Yadav,34,Male,Delhi,,53374,Single,14-08-2025,2,11277,27050,19112
113,,37,Male,,10th,,Single,25-07-2024,4,,21339,16624
114,Sahil Yadav,30,Male,Delhi,Graduate,60857,Single,08-09-2025,4,5087,,18498
115,,29,Male,Pune,Graduate,57677,,15-08-2023,2,9606,16796,17520
116,,28,Female,Delhi,Postgrad,75896,Single,,6,4921,23024,29891
117,,,Female,Delhi,Postgrad,81170,Single,29-06-2023,1,16813,32305,19206
118,Isha Agarwal,34,Female,Delhi,Postgrad,79744,Married,12-09-2023,2,11270,26817,26606
119,,32,Male,,,32365,Single,09-03-2023,5,3540,18292,20082
120,,,Female,Delhi,Graduate,45937,Single,30-07-2023,3,3749,8953,13678
121,,,Female,Delhi,Graduate,69293,Married,18-08-2023,5,6158,27033,26458
122,,20,Female,Pune,Postgrad,69286,Single,22-10-2023,3,11929,24240,31220
123,Sahil Mehta,34,Male,Delhi,12th,31758,Single,23-07-2023,2,2110,10888,3987
124,,22,Male,Delhi,12th,56248,Single,21-03-2023,4,4214,20486,15179
125,,32,Male,Jaipur,Graduate,59755,Single,15-08-2025,7,3022,21733,24140
126,,33,Male,Delhi,Graduate,44387,Single,25-01-2023,2,3158,18325,6821
127,,23,Male,Mumbai,Postgrad,88561,Married,07-10-2023,,36791,33128,37092
128,Pranav Kansal,26,Male,Ahmedabad,Graduate,80886,Married,13-04-2024,4,5560,32221,22179
129,Rahul Jain,,Male,,10th,21118,Single,24-07-2024,3,3133,6568,10105
130,,29,,Kolkata,Graduate,53122,Single,29-08-2025,3,5972,17483,16762
131,,22,Male,,12th,34278,,14-08-2025,,,,11497
132,Kritika Yadav,33,Female,,Postgrad,71709,Single,25-11-2024,6,4639,20009,29026
133,,25,Female,Delhi,12th,43543,Single,02-01-2023,2,7964,14596,15433
134,Sahil Verma,18,Male,Delhi,12th,33750,Single,18-07-2023,2,,14782,13214
135,Sneha Singh,32,Female,Delhi,10th,32799,Single,04-02-2023,3,4975,11144,17048
136,,24,Male,Delhi,Postgrad,80626,Single,16-09-2023,,20973,37006,21716
137,,31,Female,Kolkata,Graduate,47182,Single,09-09-2023,0,17153,19233,18015
138,Sahil Mehta,25,Male,Lucknow,Graduate,51000,Single,30-07-2024,1,,,15946
139,,33,Female,Delhi,Postgrad,70099,Single,16-07-2025,3,6381,25849,21062
140,Rohit Mehta,30,Male,,12th,30740,Single,25-06-2024,1,,9231,10874
141,Nikhil Yadav,18,Male,Hyderabad,Postgrad,63941,Married,22-02-2024,5,7499,17997,30519
142,,31,Male,,Graduate,49019,Single,19-11-2024,5,3424,15209,19783
143,,27,Female,Delhi,Graduate,42246,Single,06-07-2025,0,12764,13115,11050
144,Vikram Gupta,37,Male,Mumbai,Postgrad,83261,Single,28-03-2024,1,25544,30815,25255
145,,,Male,Delhi,Postgrad,67300,Single,15-09-2023,4,5734,27396,23897
146,,,Male,Delhi,12th,46346,Married,10-05-2023,2,4626,17279,12271
147,,25,Male,Delhi,Graduate,43423,Single,30-04-2024,4,3632,18418,12483
148,,25,Male,Delhi,Graduate,68067,Married,,2,10434,23178,20354
149,,29,Male,Hyderabad,Postgrad,74394,Single,19-10-2023,1,37283,30670,33260
150,Aman Patel,,Male,Kolkata,12th,34067,Married,17-01-2024,3,4257,,14375
151,,,Female,Delhi,Graduate,65013,Married,06-11-2024,3,4991,,17490
152,,28,Female,,Postgrad,77506,Married,22-08-2023,3,13550,,32674
153,,22,Male,Delhi,12th,46744,Married,16-06-2023,3,4995,15152,16687
154,,24,Male,,12th,27033,Married,03-10-2025,2,5787,5586,10788
155,,34,Male,Delhi,Graduate,75563,Single,20-02-2025,1,27072,24660,24470
156,,,Female,Mumbai,Postgrad,86924,Married,23-07-2025,3,15107,40132,39769
157,,28,Male,,Graduate,,,04-04-2023,,20118,28406,24062
158,,35,Female,Delhi,10th,,Married,02-01-2023,2,2937,21644,7130
159,,24,Female,Delhi,12th,34105,Single,12-03-2024,2,9394,7525,18585
160,Anjali Gupta,18,Female,Delhi,Graduate,,Single,27-08-2024,3,4879,24644,15493
161,Deepak Singh,24,Male,Delhi,Postgrad,60132,Single,20-05-2023,4,5820,22171,23889
162,,,Female,,Graduate,,Married,01-06-2025,0,,18803,12734
163,,28,Male,Delhi,12th,,Single,16-09-2025,2,4635,21528,9104
164,,20,Male,Delhi,12th,57242,Married,25-03-2023,2,9970,15491,
165,Karan Gupta,35,Male,Delhi,12th,29132,Single,06-10-2024,3,3665,13563,9563
166,Karan Jain,30,Male,Delhi,Postgrad,68830,Single,04-08-2024,2,8128,25631,18170
167,,,Female,Mumbai,10th,38284,Single,19-07-2025,,9561,13382,10430
168,,31,Female,,12th,37687,Married,,2,4709,19179,12061
169,,22,Male,Delhi,Graduate,64645,Single,19-08-2023,3,5557,20988,17861
170,,31,Female,Delhi,Graduate,58585,Single,15-09-2023,2,,19185,22482
171,,34,Male,Delhi,12th,22865,Single,,1,7842,13489,7893
172,,,Male,Bengaluru,Graduate,65317,Married,23-11-2025,3,9155,23300,23492
173,,33,Male,Delhi,Graduate,54278,Single,04-06-2023,3,6195,22928,17565
174,,32,Female,,Postgrad,82204,Single,,3,7946,29571,24071
175,,19,Male,Delhi,Postgrad,83015,Single,16-10-2024,2,9332,34365,28605
176,,29,Male,Delhi,,62673,Married,05-01-2025,5,3467,14300,18715
177,,,Male,Pune,,16952,Single,,2,1769,0,4580
178,,36,Female,Ahmedabad,,,Single,24-04-2023,5,2598,16598,13174
179,,35,Female,Delhi,Graduate,45594,Single,18-08-2023,4,4476,19469,18502
180,,24,Female,Delhi,Graduate,53357,Single,24-07-2025,5,2797,23445,14255
181,Isha Sharma,29,Female,,Graduate,44535,Married,17-11-2023,2,9720,12492,19741
182,,30,Female,Delhi,10th,36982,Single,11-12-2023,2,7491,9599,14692
183,,34,Male,Lucknow,Postgrad,87840,Single,01-07-2025,4,9102,28954,32216
184,,20,Male,Delhi,Graduate,54915,Married,02-01-2024,,20165,19965,
185,Kritika Patel,18,Female,Delhi,12th,,,09-09-2025,2,2509,18620,3958
186,Neha Patel,29,Female,Mumbai,Postgrad,,Single,16-10-2025,4,9598,,34214
187,,18,Male,Delhi,10th,,,22-04-2023,2,50,24103,100
188,,30,Male,Pune,10th,37359,Married,02-04-2025,2,6520,,13780
189,,,Female,Delhi,Postgrad,94044,Married,23-07-2023,3,10187,36382,34678
190,,36,Male,Delhi,Graduate,,,22-03-2024,1,14913,22095,13803
191,,26,Female,Delhi,Postgrad,,Single,05-07-2025,0,22007,24068,23070
192,,30,Male,Delhi,12th,38290,Single,05-04-2023,0,5413,12638,4139
193,,33,Male,Hyderabad,12th,47492,Single,13-11-2024,3,2856,16679,8788
194,Riya Yadav,23,Female,Hyderabad,10th,18573,Single,09-07-2023,3,2449,6733,8593
195,,34,Male,Bengaluru,Graduate,,Single,01-09-2024,5,4119,16241,22177
196,,,Male,Chennai,12th,38696,Single,03-02-2024,2,6153,17639,15244
197,,,Female,Delhi,,48314,Single,13-09-2024,,16723,,14027
198,,30,,Delhi,Graduate,66853,Married,17-04-2024,5,4166,24274,21634
199,,28,Male,Delhi,Graduate,,Single,12-09-2023,2,14092,22906,25512
200,,33,Male,Jaipur,Postgrad,88275,Single,26-04-2025,0,24272,,27303
201,,27,Female,,10th,20815,,17-05-2023,1,8914,,8917
202,,30,Female,Delhi,12th,26919,,02-11-2025,3,2964,11045,11131
203,,,Male,Delhi,10th,30326,Single,10-06-2023,2,1896,,3992
204,Arjun Mehta,24,Male,Delhi,10th,28609,Single,,2,4972,13293,10640
205,,30,Male,Delhi,10th,13339,Single,13-05-2025,2,5159,4892,10988
206,Arjun Mehta,24,Male,Delhi,Graduate,55913,Single,05-11-2025,3,7164,19068,20021
207,,33,Male,Delhi,Graduate,,Single,09-11-2024,1,19323,26940,16027
208,,32,Female,Hyderabad,,85841,Married,15-02-2025,3,8444,27029,25657
209,,25,Male,Ahmedabad,12th,14359,Single,29-08-2025,2,2580,2122,6533
210,Sahil Kansal,30,Male,Delhi,12th,,,14-04-2024,3,6192,,20104
211,,25,Female,Delhi,Graduate,61515,Divorced,27-11-2025,2,9755,23961,19554
212,Kritika Jain,20,Female,Ahmedabad,Graduate,,Single,15-08-2025,4,5901,21920,21651
213,,,Male,Bengaluru,Postgrad,83866,Married,23-02-2025,5,8112,29136,39532
214,,29,Female,Hyderabad,Graduate,56443,Married,14-04-2023,5,5605,23814,26182
215,,,Female,Delhi,Graduate,375752,Single,28-02-2024,3,4677,128883,12231
216,,30,Female,Delhi,12th,37548,Single,16-01-2024,2,,,13899
217,,34,Male,Delhi,Postgrad,78595,,11-02-2024,2,12529,28691,21800
218,Aman Gupta,24,Male,Delhi,12th,41040,Single,04-08-2025,2,8907,12479,17873
219,,27,Female,Jaipur,Graduate,47188,Single,11-09-2024,2,5261,,11881
220,,38,Male,Mumbai,Postgrad,90626,Single,26-09-2025,5,5637,36563,30445
221,Karan Verma,18,Male,Delhi,Graduate,49365,Married,03-12-2023,3,3974,14094,12483
222,,,Male,Delhi,10th,42967,Married,24-05-2025,0,9837,9238,10935
223,Sneha Patel,23,Female,,Graduate,51849,Single,12-02-2024,2,11369,24995,21222
224,,,Female,,Graduate,55422,Married,01-03-2024,4,,22201,25947
225,,27,,Ahmedabad,12th,42950,Single,10-02-2025,,9423,16216,9871
226,,32,Female,,Graduate,61048,Single,11-01-2025,,18478,27297,17191
227,,30,Male,Kolkata,Graduate,54351,Single,08-05-2023,4,,18172,10069
228,,22,Male,Delhi,Graduate,67774,Divorced,27-08-2025,2,,30432,20985
229,Aarti Sharma,26,,Delhi,Graduate,44091,,03-02-2024,1,16274,19123,17319
230,,29,Male,Delhi,10th,21542,Single,09-07-2023,2,1623,13112,3513
231,,33,Male,Bengaluru,12th,37518,Single,08-10-2023,2,5475,12307,8994
232,,42,Male,Lucknow,Graduate,,Single,26-06-2023,1,9217,18288,10707
233,,33,Female,Delhi,Graduate,40440,Single,02-12-2024,2,5512,11134,12774
234,Kritika Sharma,23,Female,Delhi,,47433,Single,20-06-2025,4,5233,,19036
235,,28,Female,Mumbai,10th,35654,Single,30-10-2023,1,1088,14293,1443
236,Anjali Jain,,Female,Pune,10th,42332,Single,22-05-2023,1,,16713,15080
237,,26,Male,,Postgrad,76277,Single,17-12-2024,5,,,23091
238,,32,Female,Pune,Postgrad,102015,Single,27-01-2024,1,24977,44994,28556
239,Arjun Gupta,18,Male,Delhi,Postgrad,79649,Single,01-03-2025,5,5340,,23964
240,,,Male,,Graduate,60397,Married,07-11-2023,4,4546,21716,22283
241,,26,Female,Mumbai,Graduate,56809,Married,26-03-2023,,27851,23832,21746
242,,28,Female,,12th,50873,Single,23-05-2024,2,4757,13003,11156
243,Deepak Mehta,37,Male,Ahmedabad,Graduate,60755,Single,11-03-2023,2,13319,23510,24736
244,,22,Male,Lucknow,Graduate,57962,Single,20-01-2024,2,3870,19754,8231
245,Meera Agarwal,30,Female,Ahmedabad,Graduate,54913,Single,22-07-2023,,17195,27104,21062
246,,33,Female,Delhi,12th,33242,Single,17-06-2024,3,3992,6923,14917
247,,30,Female,Delhi,Postgrad,94900,Married,30-12-2024,3,13356,37502,37073
248,,,Male,Delhi,Graduate,55355,Single,15-07-2024,4,7433,22620,24804
249,,,Male,,Postgrad,,Single,23-09-2023,7,4823,17852,35536
250,Rahul Mehta,28,Male,,10th,36723,Single,27-06-2024,3,5875,6856,16727
251,,26,Female,Lucknow,10th,35131,Single,26-02-2025,3,3919,11086,12801
252,,27,Female,,Postgrad,,Single,21-08-2024,1,24998,21746,25667
253,,27,Male,Chennai,Graduate,68373,Single,24-12-2025,2,13810,33723,26164
254,,22,Male,Jaipur,Postgrad,75259,Single,30-01-2023,1,20731,31235,20594
255,,30,Male,Delhi,12th,,Single,02-01-2025,1,8467,30003,10039
256,,26,Female,,12th,34264,Single,15-05-2025,3,5903,10039,13569
257,Riya Jain,33,Female,,Graduate,63375,Single,20-09-2025,6,3533,,27317
258,Rahul Agarwal,,Male,Delhi,Postgrad,68792,Single,25-03-2025,3,10382,23102,34189
259,,38,Male,Delhi,12th,44064,,08-02-2023,,17455,19994,17857
260,Anjali Kansal,28,Female,Lucknow,Graduate,57640,Married,07-02-2025,3,4423,,15658
261,,,Male,Delhi,12th,54016,,04-07-2024,,10565,19938,10741
262,,21,Female,Mumbai,Postgrad,80811,Single,06-03-2024,7,6669,29868,41517
263,,41,Male,Hyderabad,,50085,Married,15-11-2023,6,2774,19928,20474
264,,33,Male,Kolkata,Postgrad,82002,Single,26-02-2025,1,29314,36787,28228
265,,25,Female,,Graduate,56885,Married,08-09-2023,1,14522,20433,14505
266,,38,Male,Mumbai,Postgrad,80932,Single,09-04-2025,6,5034,26489,32307
267,,36,,Delhi,,,Married,12-10-2025,0,18888,27285,23820
268,,22,Male,Ahmedabad,Graduate,66022,Single,31-10-2023,5,4618,22521,25856
269,,25,Male,Delhi,Postgrad,85624,Single,03-12-2023,,,,37068
270,,28,Male,Hyderabad,Postgrad,94203,Married,21-08-2024,8,4991,31544,36041
271,,23,Male,Bengaluru,,35878,Married,12-04-2023,1,11395,17284,10945
272,,28,Male,Delhi,12th,57143,Single,20-02-2024,1,15950,20000,14164
273,,33,Male,Delhi,12th,41778,Single,25-06-2025,6,796,17348,4990
274,Aarti Yadav,21,Female,Delhi,10th,41440,Single,10-02-2025,6,1797,12784,11072
275,,,Female,Delhi,Postgrad,77845,Married,01-08-2024,2,10488,36222,23900
276,,35,Male,Pune,12th,45158,Single,,3,7236,,23751
277,,31,Male,Delhi,Graduate,56537,Single,15-03-2024,2,7631,22030,19082
278,Aman Verma,29,Male,Delhi,Graduate,72458,Single,05-10-2023,,33282,30982,31013
279,,25,Female,Hyderabad,Postgrad,85239,,01-09-2024,2,19107,31859,37674
280,Riya Agarwal,34,Female,,Graduate,64076,Single,21-08-2023,4,4421,26002,21037
281,,23,Male,Delhi,Graduate,49170,Single,19-10-2023,6,3249,,21110
282,,30,Male,Pune,Graduate,72803,Married,07-02-2025,6,5055,25083,29934
283,,29,Male,Chennai,Graduate,59851,Married,21-05-2023,1,24505,23124,21485
284,Arjun Yadav,35,Male,,Graduate,76354,Single,18-08-2023,1,22452,31701,18956
285,Arjun Sharma,26,Male,Delhi,Postgrad,82904,Married,24-12-2025,5,,34699,32277
286,Rahul Kansal,26,Male,Delhi,Graduate,46259,Married,19-12-2024,2,7250,15674,13874
287,,22,Male,Delhi,12th,36180,Single,01-03-2024,1,93,17650,100
288,,31,Male,Jaipur,Graduate,58303,Married,10-05-2024,1,11223,22488,14827
289,,27,Male,Hyderabad,Graduate,51510,Single,04-12-2023,1,6365,24583,5806
290,Sahil Sharma,24,Male,,Graduate,,Single,15-10-2025,4,4587,26906,15800
291,,,Female,Jaipur,Graduate,50968,Single,02-08-2023,2,8702,20423,18070
292,,,Male,,Graduate,36781,Single,28-01-2025,1,,14242,5574
293,,23,Female,,Graduate,55682,Single,08-07-2025,4,,23783,18814
294,,23,Male,Bengaluru,Postgrad,95863,Single,28-06-2025,6,6304,35795,37378
295,,34,Female,Ahmedabad,,,Single,16-06-2023,3,6848,19449,
296,,28,,Ahmedabad,Graduate,59265,Single,08-08-2024,1,18470,,
297,,34,Female,,,50057,Married,18-03-2024,1,2371,21136,2626
298,,27,Female,Chennai,10th,32312,Single,14-10-2024,2,5315,8073,10647
299,,29,Female,Pune,Graduate,43491,Single,26-06-2024,,11218,16194,12226
300,,,Female,Bengaluru,Graduate,57199,Single,19-09-2023,4,5797,,25147
301,,37,Female,Jaipur,Postgrad,94105,,12-06-2025,5,6432,30075,28857
302,,36,Male,Delhi,Graduate,54443,Single,09-10-2024,4,3313,15765,12700
303,,35,Male,Delhi,,,Married,23-07-2023,,32373,22072,32227
304,,,,,Graduate,,Single,03-05-2023,,20660,22850,26579
305,,,Female,,Postgrad,82448,Married,21-08-2023,5,5830,24232,32204
306,Rohit Yadav,33,Male,Hyderabad,Postgrad,,Single,04-02-2024,5,4377,14764,21550
307,,37,Male,,Graduate,69366,Married,19-08-2025,,16777,30380,17885
308,,35,Female,Delhi,Graduate,58730,Single,09-05-2025,,16577,22085,16098
309,,29,Male,Delhi,,64167,Single,04-10-2025,3,3039,23438,8482
310,,33,Male,,Graduate,36978,Single,08-10-2023,0,1098,17688,951
311,Aman Verma,33,Male,Bengaluru,Graduate,43583,Single,02-10-2023,4,4974,19398,22823
312,,,Male,,12th,25622,Single,13-05-2025,1,5052,13460,6145
313,,30,Male,Bengaluru,,64124,Single,,5,5719,18770,25652
314,,30,Male,Lucknow,Graduate,48774,,,,,25902,24727
315,,25,Male,Delhi,Postgrad,66625,Married,25-04-2023,1,,28446,21216
316,Vikram Jain,25,Male,,10th,40503,Single,06-07-2023,7,2534,9474,
317,,,Male,Delhi,Graduate,,Single,18-12-2023,1,20075,22937,18602
318,Anjali Agarwal,20,Female,Mumbai,12th,43679,Married,25-09-2023,0,27253,17177,25072
319,Rahul Gupta,,,Delhi,12th,35317,Divorced,16-07-2023,1,11038,20513,10938
320,Anjali Jain,29,Female,Hyderabad,10th,21654,Single,23-08-2025,3,3172,7126,9762
321,,33,Female,Kolkata,Graduate,57619,Single,12-08-2025,3,6590,24201,20211
322,,36,Male,Jaipur,Graduate,46688,Single,31-07-2024,3,5103,19629,17470
323,,,Male,Kolkata,Graduate,61394,Married,07-05-2023,2,11225,22451,22025
324,,,Male,Delhi,Graduate,15300,Single,17-02-2024,3,3073,185,9624
325,,25,Female,Lucknow,Postgrad,65749,Single,29-08-2025,5,5052,25414,22056
326,,21,Female,Pune,Graduate,44431,Single,07-11-2024,1,15381,18432,17155
327,,34,Female,Pune,Graduate,38477,Single,08-05-2024,3,,10857,10263
328,,,Male,,,,Single,23-10-2024,5,4422,15512,21202
329,Aarti Agarwal,38,Female,,Postgrad,83542,Married,19-12-2024,3,12149,32259,36734
330,,32,Male,Delhi,12th,29940,Single,09-03-2025,4,2849,6212,13266
331,,,Female,Delhi,Graduate,67623,Single,04-04-2025,0,17126,,20458
332,,,Male,Delhi,Graduate,63975,Married,05-08-2025,5,5527,29775,29596
333,,32,,,12th,43387,Married,09-05-2023,6,2862,13111,15706
334,Isha Kansal,36,Female,Delhi,Graduate,62393,Single,02-06-2024,3,8322,26147,24389
335,Rahul Singh,37,Male,Mumbai,Graduate,75591,Married,27-04-2024,5,4247,22063,29820
,,34,Female,Lucknow,12th,43379,Single,22-11-2025,1,14391,12327,16295
337,,26,Male,Chennai,Graduate,,,02-10-2023,2,,26796,22517
